Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
USA,2,1,5,3,2,0,3,2,1,1,1,1,1,400,1,1,3,2,4,4,4,4,4,4,3,3,3,3
España,1,2,4,33,3,0,3,1,1,1,2,1,3,100,1,1,2,4,4,3,3,4,3,2,3,3,3,3
España,2,1,4,33,4,0,3,1,1,2,6,1,5,250,1,1,2,3,3,3,3,3,3,2,2,3,3,5
Bolivia,1,1,3,33,4,0,3,1,1,1,1,1,2,440,1,1,2,2,2,2,2,2,2,2,2,2,2,5
España,2,1,2,33,4,0,3,1,1,2,6,1,5,255,1,1,3,2,2,2,3,3,3,2,2,2,3,5
España,2,1,3,33,1,0,3,1,1,2,1,1,3,100,1,1,2,3,3,3,2,2,3,3,3,2,3,5
Uruguay,2,1,4,33,1,0,1,1,1,2,2,2,3,175,1,3,2,3,3,2,2,2,2,2,2,2,3,5
Uruguay,1,1,4,3,4,0,3,1,1,2,1,2,2,150,1,3,2,3,3,3,3,3,3,3,3,3,3,5
España,2,2,4,1,2,0,6,1,1,2,6,1,2,70,1,1,2,3,3,3,4,3,4,3,2,2,2,5
Canada,2,2,3,7,2,0,1,1,1,1,6,1,3,150,1,1,1,3,3,3,3,2,3,2,2,3,3,5
Argentina,1,1,3,2,4,0,3,1,1,2,2,2,2,70,1,3,2,2,2,2,3,3,2,3,2,2,2,3
Argentina,2,1,3,33,4,0,3,1,1,2,2,2,2,70,1,1,1,2,2,2,3,3,3,2,2,2,2,2
Argentina,2,1,3,29,4,0,3,1,1,2,2,2,2,80,1,1,2,1,2,2,1,2,2,2,3,3,3,2
Chile,2,1,3,33,4,0,3,1,1,2,1,2,2,100,1,3,5,2,2,2,2,2,2,1,1,1,1,1
Chile,2,1,3,33,4,0,3,1,1,2,1,2,2,90,1,3,2,2,2,3,3,3,3,2,2,1,1,2
Italia,2,5,2,33,4,0,3,1,1,1,6,1,5,70,2,2,3,3,3,3,2,3,3,2,3,2,3,3
Italia,2,5,2,33,4,0,3,1,1,1,6,1,3,100,1,1,2,2,2,3,2,2,2,3,2,3,2,3
España,2,3,3,7,4,0,3,1,1,1,6,1,5,50,2,3,2,3,3,2,3,3,2,2,3,3,3,3
España,2,2,4,3,4,0,3,1,1,1,6,1,5,80,1,3,5,3,3,2,3,3,2,2,2,3,2,2
Australia,1,1,2,33,1,0,3,1,2,1,1,2,2,50,2,3,2,5,5,5,4,4,4,3,3,3,2,2
Brasil,2,1,2,33,4,0,3,1,1,1,2,2,2,30,1,3,5,3,3,3,3,3,3,3,2,2,2,2
Brasil,2,1,2,33,4,0,3,1,1,1,2,2,3,30,1,3,2,3,3,3,3,2,3,2,3,2,3,3
Brasil,1,1,2,33,4,0,3,1,1,1,2,2,2,30,1,3,3,3,3,3,3,3,3,2,2,2,3,2
Francia,2,2,3,26,3,3,3,1,1,1,4,1,5,100,1,3,2,3,3,3,4,3,4,4,3,3,3,2
Australia,1,2,2,33,2,0,4,1,1,1,3,1,3,150,1,1,2,4,3,4,3,3,3,3,3,3,3,3
Alemania,1,1,3,5,4,0,4,1,1,1,2,2,3,250,1,3,2,3,3,2,3,5,2,2,3,2,2,5
Holanda,1,2,3,31,4,0,4,1,1,1,1,1,4,305,1,1,2,3,3,3,4,4,3,3,3,3,3,3
Alemania,1,1,4,32,3,0,3,1,1,1,2,2,3,160,1,3,2,3,2,3,2,3,3,3,4,3,4,5
Inglaterra,2,1,2,32,1,0,3,1,1,2,1,2,3,250,1,3,2,4,3,3,3,3,3,3,3,3,3,2
Alemania,1,5,4,30,3,0,3,1,1,1,2,2,4,160,1,2,2,3,2,2,3,2,3,3,2,3,4,5
Francia,2,5,3,33,2,0,4,1,1,1,3,2,4,150,1,1,2,3,2,3,3,2,3,2,2,2,2,2
Francia,1,5,3,2,2,0,4,1,1,1,2,2,4,150,1,1,2,2,3,3,3,3,3,2,2,2,3,2
Inglaterra,1,1,4,2,1,0,4,1,1,2,2,2,3,100,1,1,1,2,3,2,2,3,2,2,2,2,2,2
España,1,1,4,21,1,0,3,1,1,1,3,2,2,150,1,1,2,3,3,3,3,3,3,2,4,3,3,2
Mexico,2,1,4,5,1,0,3,2,4,2,2,1,2,100,1,1,2,1,1,1,3,3,3,2,2,2,2,5
Bolivia,2,2,4,1,5,1,3,1,1,2,6,1,3,80,1,1,2,3,3,3,4,3,4,2,2,2,2,5
